ParentChannelCode,CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,relevance,principal,check,inclusion,employment,intellectual,education,family,advocacy,intellectual2,intellectual.subpurpose,channel,dpo,TopChannelCode,ParentChannelName
11000,2018007043-1,009-122747-A,2018,C01,ODA Grants,Spain,Ecuador,0.0889673,0.0253035,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Ecuador 2018 Inclusive education Bridging the Gap,ECUADOR 2018 INCLUSIVE EDUCATION BRIDGING THE GAP,"Ayuda en especie de cooperación internacional en desarrollo de la Política Exterior del Gobierno a favor de Federación Nacional de Ecuatorianos con Discapacidad Física (FENEDIF), Federación Nacional de Personas Sordas del Ecuador (FENASEC), Federación Nacional de Ciegos del Ecuador (FENCE) y Federación Ecuatoriana Pro Atención a la persona con Discapacidad Intelectual, Autismo, Parálisis Cerebral y Síndrome de Down (FEPAPDEM) para fomentar la educación inclusiva en Ecuador (2018-2021)",No gender component,Principal disability component,Vía AECID,Donor Government,11000,Principal,Yes,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Vía AECID,Other channel,10000,Donor Government
11000,2017170201,87301531,2018,C01,ODA Grants,Finland,Moldova,0,0.000829876,"I.1.a. Education, Level Unspecified",Teacher training,Building the capacity of local public authorities in school inclusion of children with intellectual disabilities and autism,BUILDING THE CAPACITY OF LOCAL PUBLIC AUTHORITIES IN SCHOOL INCLUSION OF CHILDREN WITH INTELLECTUAL DISABILITIES AND AUTISM,Goal: Develop human resources qualified in assessment and diagnosis of children with disabilities and autism in three pilot districts  Ungheni Leova and Orheito improve access to equal education for all.Objectives:1.The representatives of the district Psycho-pedagogical Assistance Service (PAS) in three pilot districts from Moldova have the required knowledge in assessment and diagnosis of the development level of children with intellectual disabilities and autism for their inclusion into mainstream education.2.Children with intellectual disabilities and autism benefit from an inclusive learning environment in accordance with their rights under the national law and international standards.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2018096056,TUN-18-18,2018,D02,ODA Grants,France,Tunisia,0.203418,0.203418,I.1.b. Basic Education,Primary education,SCAC - P185 - Tunisie - Service de coopération et d'action culturelle,SCAC - P185 - TUNISIE - SERVICE DE COOPÉRATION ET D'ACTION CULTURELLE,"SCAC - P185 - Université d?été et plan de formation massif pour 17000 enseignants de français en Tunisie - Dotation pour opérations EAF - TUNISIE - Professionnalisation des suppléants et futurs enseignants du primaire en langue française et FLE - Renforcement de la qualité de l'enseignement du français, prise en charge des difficultés d'apprentissage",Significant gender component,No disability component,Gouvernement du donneur,Donor Government,11000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Gouvernement Du Donneur,Other channel,10000,Donor Government
11000,2017078779,2017040158236,2018,D02,ODA Grants,Korea,Sri Lanka,0.118471,0.118471,I.1.b. Basic Education,Primary education,Capacity Building of Special Education Professionals (Sri Lanka),CAPACITY BUILDING OF SPECIAL EDUCATION PROFESSIONALS (SRI LANKA),Providing high-quality special education through the strengthening of special education specialists and contributing to the educational system of recipient country,No gender component,No disability component,KOICA,Donor Government,11000,Principal,Yes,No,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,KOICA,Other channel,10000,Donor Government
11000,2018000179,SAM3,2018,D01,ODA Grants,Lithuania,Belarus,0.0086952,0.0086952,"I.2.a. Health, General",Health policy and administrative management,Sharing of good practice on forensic aspects and care of people with mental disabilities,SHARING OF GOOD PRACTICE ON FORENSIC ASPECTS AND CARE OF PEOPLE WITH MENTAL DISABILITIES,Sharing of good practice on forensic aspects and care of people with mental disabilities,Not screened,Not screened,Donor Government,Donor Government,11000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Donor Government,Other channel,10000,Donor Government
11000,2017078773,2017040147670,2018,D02,ODA Grants,Korea,Bangladesh,0.0916459,0.0916459,"I.2.a. Health, General",Health policy and administrative management,Multi-year Competency Enhancement of Diagnosis and Treatment of Autistic Spectrum Disorder for Child (Bangladesh),MULTI-YEAR COMPETENCY ENHANCEMENT OF DIAGNOSIS AND TREATMENT OF AUTISTIC SPECTRUM DISORDER FOR CHILD (BANGLADESH),"Korea`s autism spectrum disorder policy, the latest domestic trends, diagnosis and treatment methods, contributing to diagnosis and treatment of children with autism spectrum disorder in Bangladesh",No gender component,No disability component,KOICA,Donor Government,11000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,KOICA,Other channel,10000,Donor Government
11000,2016160098,28816581,2018,C01,ODA Grants,Finland,Zambia,0,0.00066669,"I.2.a. Health, General",Health policy and administrative management,ZAM/FLC ZAEPD Support to Parents and Professionals in Early Identification and Interaction of Children with ID CP and Speech Impairments,ZAM/FLC ZAEPD SUPPORT TO PARENTS AND PROFESSIONALS IN EARLY IDENTIFICATION AND INTERACTION OF CHILDREN WITH ID CP AND SPEECH IMPAIRMENTS,ZAEPD is a disability organization founded by parents of persons with intellectual disabilities. Currently ZAEPD works for inclusion of persons with intellectual disabilities in all areas of life. It is also a platform for advocacy and lobbying in Zambia in the light of the UN Convention on the Rights of Persons with Disabilities. ZAEPD has a long project co-operation history with Finnish Association on Intellectual and Developmental Disabilities (FAIDD). The project will address an overarching development framework for early intervention on children with intellectual disabilities by capacitating both parents and health care personnel with information at all levels ranging from details of their childs diagnosis and long term prospects through specific guidance  In this pilot project an early intervention model for Zambian context will be developed utilizing Finnish expertise and in cooperation with the Zambian Ministry of Health. The project will contribute towards the Finnish Government Development Policy by improving the access to proper health care for vulnerable children with special needs.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2018001020,MRC_GM_MR/R018529/1,2018,D02,ODA Grants,United Kingdom,Gambia,0.251953,0.251953,"I.2.a. Health, General",Medical research,MICA: BRAINTOOLS Phase 1: Optimising neurodevelopmental outcomes for global health,MICA: BRAINTOOLS PHASE 1: OPTIMISING NEURODEVELOPMENTAL OUTCOMES FOR GLOBAL HEALTH,Global Mental Health Institutional pump priming awards first stage to optimise neurodevelopmental outcomes for global health working with Gambia,No gender component,No disability component,Donor Government,Donor Government,11000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Donor Government,Other channel,10000,Donor Government
11000,2016160098,28816581,2018,C01,ODA Grants,Finland,Zambia,0,0.00300011,I.2.b. Basic Health,Basic health care,ZAM/FLC ZAEPD Support to Parents and Professionals in Early Identification and Interaction of Children with ID CP and Speech Impairments,ZAM/FLC ZAEPD SUPPORT TO PARENTS AND PROFESSIONALS IN EARLY IDENTIFICATION AND INTERACTION OF CHILDREN WITH ID CP AND SPEECH IMPAIRMENTS,ZAEPD is a disability organization founded by parents of persons with intellectual disabilities. Currently ZAEPD works for inclusion of persons with intellectual disabilities in all areas of life. It is also a platform for advocacy and lobbying in Zambia in the light of the UN Convention on the Rights of Persons with Disabilities. ZAEPD has a long project co-operation history with Finnish Association on Intellectual and Developmental Disabilities (FAIDD). The project will address an overarching development framework for early intervention on children with intellectual disabilities by capacitating both parents and health care personnel with information at all levels ranging from details of their childs diagnosis and long term prospects through specific guidance  In this pilot project an early intervention model for Zambian context will be developed utilizing Finnish expertise and in cooperation with the Zambian Ministry of Health. The project will contribute towards the Finnish Government Development Policy by improving the access to proper health care for vulnerable children with special needs.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
11000,2016160098,28816581,2018,C01,ODA Grants,Finland,Zambia,0,0.00300011,I.2.b. Basic Health,Health education,ZAM/FLC ZAEPD Support to Parents and Professionals in Early Identification and Interaction of Children with ID CP and Speech Impairments,ZAM/FLC ZAEPD SUPPORT TO PARENTS AND PROFESSIONALS IN EARLY IDENTIFICATION AND INTERACTION OF CHILDREN WITH ID CP AND SPEECH IMPAIRMENTS,ZAEPD is a disability organization founded by parents of persons with intellectual disabilities. Currently ZAEPD works for inclusion of persons with intellectual disabilities in all areas of life. It is also a platform for advocacy and lobbying in Zambia in the light of the UN Convention on the Rights of Persons with Disabilities. ZAEPD has a long project co-operation history with Finnish Association on Intellectual and Developmental Disabilities (FAIDD). The project will address an overarching development framework for early intervention on children with intellectual disabilities by capacitating both parents and health care personnel with information at all levels ranging from details of their childs diagnosis and long term prospects through specific guidance  In this pilot project an early intervention model for Zambian context will be developed utilizing Finnish expertise and in cooperation with the Zambian Ministry of Health. The project will contribute towards the Finnish Government Development Policy by improving the access to proper health care for vulnerable children with special needs.,No gender component,Principal disability component,Embassy of Finland,Central Government,11001,Principal,Yes,No,inclusion,employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Embassy Of Finland,Other channel,10000,Donor Government
